,pinball_loss,winkler_score_0.1,winkler_score_0.2,winkler_score_0.3,MAE,RMSE
Original(PV),79.14726350501951,1318.022712911423,1029.1651379519894,863.4227505133907,201.1247769689937,391.55848166297596
TCL(PV),78.28678381945505,1301.6245566596065,1019.8931935388857,855.5339058615473,199.1872452828515,388.69755390235935
E2E (PV),79.49142956617106,1341.2434500285863,1042.6820617916894,874.0235291707587,199.19962610756323,389.4242505011349
ECL(PV),85.05807151886904,1403.1453321374638,1077.4005277102797,908.7864566801181,242.44267870397883,444.6695937372147
E2E + ECL(PV),85.75657193699364,1433.1003559045523,1093.9076178494072,921.0765726343644,239.87252358931423,440.66812244841043
Original(Load),55.17489678449376,1081.7148900544423,815.998690356973,627.4647861913788,135.8428015212379,179.6123745380884
TCL(Load),53.175894947153175,1012.4172835688096,773.079004438927,600.7127226175605,131.60213463532662,174.26223680590928
E2E (Load),56.37660416112874,1122.6746261486344,844.9112483309149,657.0247771934726,139.2063762120363,185.65723566108923
ECL (Load),49.546267701150676,893.2341339017369,686.1601301254562,554.2969156918952,131.69540805218784,170.28176200164737
E2E+ECL (Load),49.7485626585258,910.312142642013,694.0293242055438,562.2697321627563,128.92787564864497,167.7181704729964
